URL,Depth,HTTP Code,Title,H1,Meta Description,Outbound Links
https://www.ihmn.be/formations/hygiene-de-vie-et-nutrition#tab-15435291221,3,200,Hygiène Vitale et Nutrition (formation),Hygiène de Vie et Nutrition,,21
https://www.ihmn.be/formations/hygiene-de-vie-et-nutrition#tab-15435291222,3,200,Hygiène Vitale et Nutrition (formation),Hygiène de Vie et Nutrition,,21
https://www.ihmn.be/faq#collapse-1682976300268,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1682976374379,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1682976374380,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1682976300269,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683034607893,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683034607894,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148386649,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148394858,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148404271,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148414804,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1682976967143,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683034613705,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683034613706,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148633325,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148642868,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148650572,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148658048,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148668238,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148677268,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148684724,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148692237,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683148702196,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1682976979747,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683034617882,3,200,FAQ,FAQ,,60
https://www.ihmn.be/faq#collapse-1683034617883,3,200,FAQ,FAQ,,60
